AED	assembly.all.maker.noseq.gff.renamed.gff
0.000	0.089
0.025	0.175
0.050	0.266
0.075	0.331
0.100	0.427
0.125	0.480
0.150	0.543
0.175	0.574
0.200	0.608
0.225	0.629
0.250	0.665
0.275	0.693
0.300	0.735
0.325	0.762
0.350	0.804
0.375	0.832
0.400	0.875
0.425	0.903
0.450	0.941
0.475	0.960
0.500	0.978
0.525	0.982
0.550	0.985
0.575	0.987
0.600	0.989
0.625	0.990
0.650	0.992
0.675	0.993
0.700	0.994
0.725	0.995
0.750	0.997
0.775	0.997
0.800	0.998
0.825	0.998
0.850	0.999
0.875	0.999
0.900	0.999
0.925	0.999
0.950	1.000
0.975	1.000
1.000	1.000
