#TE	Order	Superfamily	Clade	Complete	Strand	Domains
contig_100:32036..37373#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
contig_107:1084725..1090037#LTR/Copia	LTR	Copia	Tork	yes	-	GAG|Tork PROT|Tork INT|Tork RT|Tork RH|Tork
contig_107:1200557..1205521#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
contig_107:3143189..3148609#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
contig_107:3572784..3577807#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand
contig_107:375498..380552#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
contig_107:3962116..3966628#LTR/Copia	LTR	Copia	Ivana	yes	+	GAG|Ivana PROT|Ivana INT|Ivana RT|Ivana RH|Ivana
contig_107:4760536..4768384#LTR/Gypsy	LTR	Gypsy	Tekay	yes	+	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
contig_107:4940618..4945557#LTR/Copia	LTR	Copia	Ale	yes	-	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
contig_107:5428097..5433028#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
contig_107:5931308..5936583#LTR/Copia	LTR	Copia	Ale	yes	+	GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale
contig_107:6105806..6113851#LTR/Gypsy	LTR	Gypsy	Tekay	yes	+	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay CHD|Tekay
contig_107:6168422..6179951#LTR/Gypsy	LTR	Gypsy	Retand	yes	+	GAG|Retand PROT|Retand RT|Retand RH|Retand INT|Retand
contig_107:6321192..6330729#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand RT|Retand aRH|Retand INT|Retand
contig_107:6686752..6691790#LTR/Gypsy	LTR	Gypsy	Tekay	yes	+	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay
contig_107:6718745..6725779#LTR/Gypsy	LTR	Gypsy	Tekay	yes	+	GAG|Tekay PROT|Tekay RT|Tekay RH|Tekay INT|Tekay
contig_107:6883554..6894321#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand PROT|Retand RT|Retand INT|Retand
contig_107:7152642..7163286#LTR/Gypsy	LTR	Gypsy	Athila	no	-	GAG|Athila PROT|Athila
contig_107:7211091..7222521#LTR/Gypsy	LTR	Gypsy	Athila	no	+	GAG|Athila PROT|Athila
