			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

TE_00000080	DNA	Helitron	1868	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	924	626	912	362	273	120	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000270	DNA	DTM	899	0	0	0	0	0	32	0	0	0	0	0	0	0	0	205	0	0	129	88	0	0	145	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000425_INT	LTR	Gypsy	2429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000655_INT	LTR	Gypsy	4624	2573	0	0	0	37	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	470	1478	0	7396	6785	3543	4663	1344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000714	MITE	DTC	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000903_INT	LTR	Copia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000812	DNA	DTA	825	0	0	598	600	741	67	458	0	0	0	382	0	0	0	493	195	0	0	0	290	0	108	0	246	0	243	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000057	DNA	Helitron	5604	182	36	0	1561	273	0	0	0	1208	475	289	1022	641	0	438	432	108	84	102	197	269	75	217	130	176	165	225	454	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000183	DNA	Helitron	1544	0	2995	0	0	0	0	201	151	492	163	572	1324	1492	1036	688	840	665	0	345	250	0	0	288	0	51	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000609	DNA	Helitron	884	0	0	0	0	0	0	0	0	0	0	0	0	54	280	82	0	0	142	218	0	152	0	36	96	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000792_INT	LTR	Gypsy	2703	9314	3485	1798	65	1151	17244	34847	29378	10578	12484	6766	21628	6471	5421	122	2736	1213	829	4219	8717	1121	264	1276	1637	556	1198	0	0	1544	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
